# Manufacturer-specific trouble codes.
#
# Generated by "cargo import" — do not edit by hand.
#
# J2012 reserves these ranges but not their meanings, so the same code means
# different things on different marques. Rows carry the make where the source
# named one; an empty make is a definition the source did not attribute, and is
# used only when nothing better matches.
#
# Records are sorted by code then make; internal/dtc verifies that on load.
#
# format: code,make,description
B1743,,Mirror Passenger Vertical Switch Circuit Short To Battery
B1744,,Mirror Passenger Vertical Switch Circuit Short To Ground
B1745,,Mirror Passenger Horizontal Switch Circuit Failure
B1746,,Mirror Passenger Horizontal Switch Circuit Open
B1747,,Mirror Passenger Horizontal Switch Circuit Short To Battery
B1748,,Mirror Passenger Horizontal Switch Circuit Short To Ground
B1749,,Park/Neutral Switch Circuit Failure
B1750,,Park/Neutral Switch Circuit Open
B1751,,Park/Neutral Switch Circuit Short To Battery
B1752,,Park/Neutral Switch Circuit Short To Ground
B1753,,Hazard Flash Output Circuit Failure
B1754,,Hazard Flash Output Circuit Open
B1755,,Hazard Flash Output Circuit Short Battery
B1756,,Hazard Flash Output Circuit Short To Ground
B1757,,Seat Driver Rear Down Circuit Failure
B1758,,Seat Driver Rear Down Circuit Open
B1759,,Seat Driver Rear Down Circuit Short To Battery
B1760,,Seat Driver Rear Down Circuit Short To Ground
B1761,,Seat Driver Front Down Circuit Failure
B1762,,Seat Driver Front Down Circuit Open
B1763,,Seat Driver Front Down Circuit Short To Battery
B1764,,Seat Driver Front Down Circuit Short To Ground
B1765,,Seat Driver Forward Circuit Failure
B1766,,Seat Driver Forward Circuit Open
B1767,,Seat Driver Forward Circuit Short To Battery
B1768,,Seat Driver Forward Circuit Short To Ground
B1769,,Seat Driver Backward Circuit Failure
B1770,,Seat Driver Backward Circuit Open
B1771,,Seat Driver Backward Circuit Short To Battery
B1772,,Seat Driver Backward Circuit Short To Ground
B1773,,Mirror Driver Up Circuit Failure
B1774,,Mirror Driver Up Circuit Open
B1775,,Mirror Driver Up Circuit Short To Battery
B1776,,Mirror Driver Up Circuit Short To Ground
B1777,,Driver's Seatbelt Tension Reducer Circuit Short to Ground
B1778,,Mirror Driver Down Circuit Failure
B1779,,Mirror Driver Down Circuit Open
B1780,,Mirror Driver Down Circuit Short To Battery
B1781,,Mirror Driver Down Short To Ground
B1782,,Mirror Passenger Up Circuit Failure
B1783,,Mirror Passenger Up Circuit Open
B1784,,Mirror Passenger Up Circuit Short To Battery
B1785,,Mirror Passenger Up Circuit Short To Ground
B1786,,Mirror Passenger Down Circuit Failure
B1787,,Mirror Passenger Down Circuit Open
B1788,,Mirror Passenger Down Circuit Short To Battery
B1789,,Mirror Passenger Down Circuit Short To Ground
B1790,,Autolamp Sensor Input Circuit Failure
B1791,,Autolamp Sensor Input Circuit Open
B1792,,Autolamp Sensor Input Circuit Short To Battery
B1793,,Autolamp Sensor Input Circuit Short To Ground
B1794,,Lamp Headlamp Low-Beam Circuit Failure
B1795,,Lamp Headlamp Low-Beam Circuit Open
B1796,,Lamp Headlamp Low-Beam Circuit Short To Battery
B1797,,Lamp Headlamp Low-Beam Circuit Short To Ground
B1798,,Lamp Turn Signal Front Output Circuit Failure
B1799,,Lamp Turn Signal Front Output Circuit Open
B1800,,Lamp Turn Signal Front Output Circuit Short To Battery
B1801,,Lamp Turn Signal Front Output Circuit Short To Ground
B1802,,Lamp Turn Signal Rear Output Circuit Failure
B1803,,Lamp Turn Signal Rear Output Circuit Open
B1804,,Lamp Turn Signal Rear Output Circuit Short To Battery
B1805,,Lamp Turn Signal Rear Output Circuit Short To Ground
B1806,,Lamp Tail Output Circuit Failure
B1807,,Lamp Tail Output Circuit Open
B1808,,Lamp Tail Output Circuit Short To Battery
B1809,,Lamp Tail Output Circuit Short To Ground
B1810,,Lamp Backup Switch Input Circuit Failure
B1811,,Lamp Backup Switch Input Circuit Open
B1812,,Lamp Backup Switch Input Circuit Short To Battery
B1813,,Lamp Backup Switch Input Circuit Short To Ground
B1814,,Wiper Rear Motor Down Relay Coil Circuit Failure
B1815,,Wiper Rear Motor Down Relay Coil Circuit Open
B1816,,Wiper Rear Motor Down Relay Coil Circuit Short To Battery
B1817,,Wiper Rear Motor Down Relay Coil Circuit Short To Ground
B1818,,Wiper Rear Motor Up Relay Coil Circuit Failure
B1819,,Wiper Rear Motor Up Relay Coil Circuit Open
B1820,,Wiper Rear Motor Up Relay Coil Circuit Short To Battery
B1821,,Wiper Rear Motor Up Relay Coil Circuit Short To Ground
B1822,,Wiper Rear Park Sense Input Circuit Failure
B1823,,Wiper Rear Park Sense Input Circuit Open
B1824,,Wiper Rear Park Sense Input Circuit Short To Battery
B1825,,Wiper Rear Park Sense Input Circuit Short To Ground
B1826,,Wiper Rear High Limit Input Circuit Failure
B1827,,Wiper Rear High Limit Input Circuit Open
B1828,,Wiper Rear High Limit Input Circuit Short To Battery
B1829,,Wiper Rear High Limit Input Circuit Short To Ground
B1830,,Door Unlock Disarm Switch Circuit Failure
B1831,,Door Unlock Disarm Switch Circuit Open
B1832,,Door Unlock Disarm Switch Circuit Short To Battery
B1833,,Door Unlock Disarm Switch Circuit Short To Ground
B1834,,Door Unlock Disarm Output Circuit Failure
B1835,,Door Unlock Disarm Output Circuit Open
B1836,,Door Unlock Disarm Output Circuit Short To Battery
B1837,,Door Unlock Disarm Output Circuit Short To Ground
B1838,,Battery Saver Power Relay Circuit Failure
B1839,,Wiper Rear Motor Circuit Failure
B1840,,Wiper Front Power Circuit Failure
B1841,,Wiper Front Power Circuit Open
B1842,,Wiper Front Power Circuit Short To Battery
B1843,,Wiper Front Power Circuit Short To Ground
B1844,,Phone Handset Circuit Failure
B1845,,Ignition Tamper Circuit Failure
B1846,,Ignition Tamper Circuit Open
B1847,,Ignition Tamper Circuit Short To Battery
B1848,,Ignition Tamper Circuit Short To Ground
B1849,,Climate Control Temperature Differential Circuit Failure
B1850,,Climate Control Temperature Differential Circuit Open
B1851,,Climate Control Temperature Differential Circuit Short To Battery
B1852,,Climate Control Temperature Differential Circuit Short To Ground
B1853,,Climate Control Air Temperature Internal Sensor Motor Circuit Failure
B1854,,Climate Control Air Temperature Internal Sensor Motor Circuit Open
B1855,,Climate Control Air Temperature Internal Sensor Motor Circuit Short To Battery
B1856,,Climate Control Air Temperature Internal Sensor Motor Circuit Short To Ground
B1857,,Climate Control On/Off Switch Circuit Failure
B1858,,Climate Control A/C Pressure Switch Circuit Failure
B1859,,Climate Control A/C Pressure Switch Circuit Open
B1860,,Climate Control A/C Pressure Switch Circuit Short To Battery
B1861,,Climate Control A/C Pressure Switch Circuit Short To Ground
B1862,,Climate Control A/C Lock Sensor Failure
B1863,,Ground ECU Circuit Open
B1864,,Battery Power Supply ECU Circuit Failure
B1865,,Battery Power Supply ECU Circuit Open
B1866,,Battery Power Supply ECU Circuit Short To Battery
B1867,,Battery Power Supply ECU Circuit Short To Ground
B1868,,Lamp Air Bag Warning Indicator Circuit Failure
B1869,,Lamp Air Bag Warning Indicator Circuit Open
B1870,,Lamp Air Bag Warning Indicator Circuit Short To Battery
B1871,,Passenger Air Bag Disable Module Fault
B1872,,Turn Signal / Hazard Power Feed Circuit Short To Battery
B1873,,Turn Signal / Hazard Power Feed Circuit Short To Ground
B1874,,Cellular Phone Handset Not Present
B1875,,Turn Signal / Hazard Switch Signal Circuit Failure
B1876,,Seatbelt Driver Pretensioner Circuit Failure
B1877,,Seatbelt Driver Pretensioner Circuit Open
B1878,,Seatbelt Driver Pretensioner Circuit Short to Battery
B1879,,Seatbelt Driver Pretensioner Circuit Short to Ground
B1880,,Seatbelt Passenger Pretensioner Circuit Failure
B1881,,Seatbelt Passenger Pretensioner Circuit Open
B1882,,Seatbelt Passenger Pretensioner Circuit Short to Battery
B1883,,Seatbelt Passenger Pretensioner Circuit Short to Ground
B1884,,PAD Warning Lamp Inoperative
B1885,,Seatbelt Driver Pretensioner Circuit Resistance Low on Squib
B1886,,Seatbelt Passenger Pretensioner Circuit Resistance Low on Squib
B1887,,Air Bag Driver Circuit Resistance Low or Shorted Together
B1888,,Air Bag Passenger Circuit Resistance Low or Shorted Together
B1889,,Passenger Airbag Disable Module Sensor Obstructed
B1890,,PAD Warning Lamp Circuit Short to Battery
B1891,,Air Bag Tone Warning Indicator Circuit Short to Battery
B1892,,Air Bag Tone Warning Indicator Circuit Failure
B1893,,GPS Antenna Open Circuit
B1894,,Wiper Rear Motor Speed Sense Circuit Failure
B1895,,Driver's / Passenger's Door Ajar Output Circuit Failure
B1896,,Driver's / Passenger's Door Ajar Output Circuit Short to Battery
B1897,,Horn Switch Circuit Failure
B1898,,Chime Input #2 Circuit Short to Ground
B1899,,Microphone Input Signal Circuit Open
B1900,,Driver Side Airbag Fault
B1901,,Air Bag Crash Sensor #1 Feed/Return Circuit Short To Ground
B1902,,Air Bag Crash Sensor #1 Ground Circuit Failure
B1903,,Air Bag Crash Sensor #1 Ground Circuit Short To Battery
B1904,,Air Bag Crash Sensor #2 Feed/Return Circuit Failure
B1905,,Air Bag Crash Sensor #2 Feed/Return Circuit Short To Battery
B1906,,Air Bag Crash Sensor #2 Feed/Return Circuit Short To Ground
B1907,,Air Bag Crash Sensor #2 Ground Circuit Failure
B1908,,Air Bag Crash Sensor #2 Ground Circuit Short To Battery
B1909,,Air Bag Crash Sensor #2 Ground Circuit Short To Ground
B1910,,Air Bag Diagnostic Monitor Ground Circuit Failure
B1911,,Air Bag Diagnostic Monitor Ground Circuit Short To Battery
B1912,,Air Bag Diagnostic Monitor Ground Circuit Short To Ground
B1913,,Air Bag Driver/Passenger Circuit Short To Ground
B1914,,Air Bag Crash Sensors #1 / #2 Circuit Short To Ground
B1915,,Air Bag Driver Circuit Failure
B1916,,Air Bag Driver Circuit Short To Battery
B1917,,Air Bag Memory Clear Circuit Failure
B1918,,Air Bag Memory Clear Circuit Open
B1919,,Air Bag Memory Clear Circuit Short To Battery
B1920,,Air Bag Passenger Circuit Failure
B1921,,Air Bag Diagnostic Monitor Ground Circuit Open
B1922,,Air Bag Safing Sensor Output Circuit Short To Battery
B1923,,Air Bag Memory Clear Circuit Short To Ground
B1924,,Air Bag Internal Diagnostic Monitor Fault or System Disarm Fault
B1925,,Air Bag Passenger Circuit Short To Battery
B1926,,Air Bag Passenger Pressure Switch Circuit Failure
B1927,,Passenger Side Airbag Fault
B1928,,Air Bag Safing Sensor Output Circuit Failure
B1929,,Air Bag Safing Sensor Output Circuit Open
B1930,,Air Bag Safing Sensor Output Circuit Short To Ground
B1931,,Air Bag Crash Sensor #1 Feed/Return Circuit Failure
B1932,,Air Bag Driver Circuit Open
B1933,,Air Bag Passenger Circuit Open
B1934,,Air Bag Driver Inflator Circuit Resistance Low on Squib
B1935,,Air Bag Passenger Inflator Circuit Resistance Low on Squib
B1936,,Air Bag Driver Circuit Short To Ground
B1937,,Air Bag Passenger Pressure Switch Circuit Open
B1938,,Air Bag Passenger Circuit Short To Ground
B1939,,Air Bag Passenger Pressure Switch Circuit Short To Ground
B1941,,Air Bag Crash Sensor #1 Feed/Return Circuit Open
B1942,,Air Bag Crash Sensor #2 Feed/Return Circuit Open
B1943,,Air Bag Crash Sensor #1 Ground Circuit Short To Ground
B1944,,Air Bag Crash Sensor #1 Ground Circuit Open
B1945,,Air Bag Crash Sensor #2 Ground Circuit Open
B1946,,Climate Control A/C Post Evaporator Sensor Circuit Failure
B1947,,Climate Control A/C Post Evaporator Sensor Circuit Short To Ground
B1948,,Climate Control Water Temperature Sensor Circuit Failure
B1949,,Climate Control Water Temperature Sensor Circuit Short To Ground
B1950,,Seat Rear Up/Down Potentiometer Feedback Circuit Failure
B1951,,Seat Rear Up/Down Potentiometer Feedback Circuit Open
B1952,,Seat Rear Up/Down Potentiometer Feedback Circuit Short To Battery
B1953,,Seat Rear Up/Down Potentiometer Feedback Circuit Short To Ground
B1954,,Seat Front Up/Down Potentiometer Feedback Circuit Failure
B1955,,Seat Front Up/Down Potentiometer Feedback Circuit Open
B1956,,Seat Front Up/Down Potentiometer Feedback Circuit Short To Battery
B1957,,Seat Front Up/Down Potentiometer Feedback Circuit Short To Ground
B1958,,Seat Recline Forward/Backward Potentiometer Feedback Circuit Failure
B1959,,Seat Recline Forward/Backward Potentiometer Feedback Circuit Open
B1960,,Seat Recline Forward/Backward Potentiometer Feedback Circuit Short To Battery
B1961,,Seat Recline Forward/Backward Potentiometer Feedback Circuit Short To Ground
B1962,,Seat Horizontal Forward/Rearward Potentiometer Feedback Circuit Failure
B1963,,Seat Horizontal Forward/Rearward Potentiometer Feedback Circuit Open
B1964,,Seat Horizontal Forward/Rearward Potentiometer Feedback Circuit Short To Battery
B1965,,Seat Horizontal Forward/Rearward Potentiometer Feedback Circuit Short To Ground
B1966,,A/C Post Heater Sensor Circuit Failure
B1967,,A/C Post Heater Sensor Circuit Short To Ground
B1968,,A/C Water Pump Detection Circuit Failure
B1969,,A/C Clutch Magnetic Control Circuit Failure
B1970,,Passenger Seatback Forward Switch Circuit Short to Ground
B1971,,Passenger Seatback Rearward Switch Circuit Short to Ground
B1972,,Passenger Rear Seat Up Switch Circuit Short to Battery
B1973,,Passenger Rear Seat Down Switch Circuit Short to Battery
B1974,,Passenger's Seat Recline Forward Switch Circuit Short to Battery
B1975,,Passenger's Seat Recline Back Switch Circuit Short to Battery
B1976,,Passenger's Seat Forward Switch Circuit Short to Battery
B1977,,Passenger's Front Seat Up Switch Circuit Short to Battery
B1978,,Passenger's Front Seat Down Switch Circuit Short to Battery
B1979,,Passenger Seat Rearward Switch Circuit Short to Battery
B1980,,Bulb - Outage Condition Detected
B1981,,Memory Off Switch Circuit Short to Battery
B1982,,Driver's Door Unlock Relay Circuit Failure
B1983,,Driver's Door Unlock Relay Circuit Short to Battery
B1984,,Seat Switch Lumbar Inflate Circuit Failure
B1985,,Seat Switch Lumbar Deflate Circuit Failure
B1986,,Driver's Seat Seatback Autoglide Rearward Switch Circuit Failure
B1987,,Pedal Forward / Rearward Motor Stalled
B1988,,Pedal Position Forward Switch Circuit Short to Battery
B1989,,Pedal Position Rearward Switch Circuit Short to Battery
B1990,,Pedal Forward / Rearward Potentiometer Feedback Circuit Failure
B1991,,Pedal Forward / Rearward Potentiometer Feedback Circuit Short to Battery
B1992,,Driver Side, Side mount Airbag Circuit Short to Vbatt
B1993,,Driver Sid, Side mount Airbag Circuit Short to Ground
B1994,,Driver Sid, Side mount Airbag Circuit Open
B1995,,Driver Sid, Side mount Airbag Low resistance on Squib
B1996,,Passenger Sid, Side mount Airbag Circuit Short to Vbatt
B1997,,Passenger Sid, Side mount Airbag Circuit Short to Ground
B1998,,Passenger Sid, Side mount Airbag Circuit Open
B1999,,Passenger Sid, Side mount Airbag Low resistance on Squib
B2000,,Manufacturer Controlled DTC
B2100,,Door Driver Key Cylinder Switch Failure
B2101,,Head Rest Switch Circuit Failure
B2102,,Antenna Circuit Short to Ground
B2103,,Antenna Not Connected
B2104,,Door Passenger Key Cylinder Switch Failure
B2105,,Throttle Position Input Out of Range Low
B2106,,Throttle Position Input Out of Range High
B2107,,Front Wiper Motor Relay Circuit Short to Vbatt
B2108,,Trunk Key Cylinder Switch Failure
B2109,,Heated Wind Shield Relay Short to Vbatt (changed from Failure 2/6/97)
B2110,,Front Wiper Motor Relay Circuit Open (changed from Failure 2/6/97)
B2111,,All Door Lock Input Short to Ground
B2112,,Door Driver Set Switch Stuck Failure
B2113,,Heated Windshield Input Short to Ground
B2114,,Front Washer Input Short to Ground
B2115,,Rear Washer Input Short to Ground
B2116,,Door Driver Reset Switch Stuck Failure
B2117,,Driver Side, Side mount Airbag Low capacitance on Squib
B2118,,Passenger Sid, Side mount Airbag Low capacitance on Squib
B2119,,Compressor Failure
B2120,,Door Passenger Set Switch Stuck Failure
B2122,,Driver Side Satellite Communication Circuit Short to Ground
B2123,,Passenger Side Satellite Communication Circuit Short to Ground
B2124,,Door Passenger Reset Switch Stuck Failure
B2128,,Central Lock Motor Failure
B2129,,Central Lock Feedback Failure
B2130,,Double Lock Timeout Failure
B2131,,Double Lock Feedback Failure
B2132,,Dimmer switch Circuit Short to Gnd
B2133,,Brake Motor Warning lamp Circuit Failure
B2134,,Brake Motor Warning lamp Circuit Short to Vbatt
B2135,,Park Brake Applied Warning Lamp Circuit Failure
B2136,,Park Brake Applied Warning Lamp Circuit Short To Battery
B2139,,Data Mismatch (receive data does not match what was expected)
B2141,,NVM Configuration Failure
B2142,,NVM TIC Failure
B2143,,NVM Memory Failure
B2144,,NVM Alarm Data Failure
B2145,,NVM RF HR Failure
B2146,,Seat Recline Motor Position Out of Range
B2148,,PWM Input Circuit Failure
B2149,,Seat Front Vertical Motor Position Out of Range
B2150,,Power Supply #1 Circuit Short to Ground
B2151,,Power Supply #2 Circuit Short to Ground
B2152,,Seat Rear Vertical Motor Position Out of Range
B2153,,Rear Echo Sensor Circuit Failure
B2154,,Front Echo Sensor Circuit Failure
B2155,,Seat Horizontal Motor Position Out of Range
B2156,,Rear Doppler Sensor Circuit Failure
B2157,,Front Doppler Sensor Circuit Failure
B2158,,Seat Recline Motor Memory Position Out of Range
B2159,,Memory #1 output Short to Ground
B2160,,Memory #1 output Short to VBatt
B2161,,Seat Front Vertical Motor Memory Position Out of Range
B2162,,Data Mismatch #2 (receive data does not match what was expected)
B2163,,Clutch Position Fault
B2164,,Seat Rear Vertical Motor Memory Position Out of Range
B2165,,Gear shift position Fault
B2166,,Gear select position Fault
B2167,,Seat Horizontal Motor Memory Position Out of Range
B2168,,Unable to confirm Unlock Condition
B2169,,Unable to confirm lock Condition
B2170,,Steering Column Lock Switch Circuit Failure
B2172,,Inertia Switch input Circuit Open
B2174,,Window Driver Rear Remote Up Switch Short to Battery
B2175,,A/C Request Signal Circuit Short to Ground
B2176,,Overdrive switch circuit short to Vbatt
B2177,,Interior Scanning Sensor Circuit Failure
B2178,,Window Driver Rear Remote Down Switch Short to Battery
B2179,,Front Wiper Select Switch "A" Short to Ground
B2180,,Front Wiper Select Switch "B" Short to Ground
B2181,,Front Wiper Select Switch "C" Short to Ground
B2182,,Window Passenger Front Remote Up Switch Short to Battery
B2183,,Front Wiper Select Switch "H" Short to Ground
B2184,,Front Wiper Select Switch "W" Short to Ground
B2185,,Rear Wiper Select Switch "D" Short to Ground
B2186,,Window Passenger Front Remote Down Switch Short to Battery
B2187,,Rear Wiper Select Switch "B" Short to Ground
B2188,,Rear Wiper Select Switch "E" Short to Ground
B2190,,Window Passenger Rear Remote Up Switch Short to Battery
B2194,,Window Passenger Rear Remote Down Switch Short to Battery
B2195,,Driver Window Up / Down Power Circuit Short to Ground
B2196,,Passenger Window Up / Down Power Circuit Short to Ground
