# Manufacturer-specific trouble codes.
#
# Generated by "cargo import" — do not edit by hand.
#
# J2012 reserves these ranges but not their meanings, so the same code means
# different things on different marques. Rows carry the make where the source
# named one; an empty make is a definition the source did not attribute, and is
# used only when nothing better matches.
#
# Records are sorted by code then make; internal/dtc verifies that on load.
#
# format: code,make,description
P1669,gm,ABS Unit Expected
P1669,gmc,ABS Unit Expected
P1669,oldsmobile,ABS Unit Expected
P1669,saturn,ABS Unit Expected
P1670,,Electronic Feedback Signal Not Detected
P1670,buick,Driver 4
P1670,cadillac,Driver 4
P1670,chevy,Driver 4
P1670,gm,Driver 4
P1670,gmc,Driver 4
P1670,oldsmobile,Driver 4
P1670,saturn,Driver 4
P1671,acura,A/T FI Data Line No Signal
P1671,buick,Driver 4 Line 1
P1671,cadillac,Driver 4 Line 1
P1671,chevy,Driver 4 Line 1
P1671,gm,Driver 4 Line 1
P1671,gmc,Driver 4 Line 1
P1671,honda,A/T FI Data Line No Signal
P1671,infiniti,A/T FI Data Line No Signal
P1671,oldsmobile,Driver 4 Line 1
P1671,saturn,Driver 4 Line 1
P1672,acura,A/T FI Data Line Failure
P1672,buick,Low Engine Oil Level Lamp Control Circuit
P1672,cadillac,Low Engine Oil Level Lamp Control Circuit
P1672,chevy,Low Engine Oil Level Lamp Control Circuit
P1672,gm,Low Engine Oil Level Lamp Control Circuit
P1672,gmc,Low Engine Oil Level Lamp Control Circuit
P1672,honda,A/T FI Data Line Failure
P1672,infiniti,A/T FI Data Line Failure
P1672,oldsmobile,Low Engine Oil Level Lamp Control Circuit
P1672,saturn,Low Engine Oil Level Lamp Control Circuit
P1673,buick,Engine Hot Lamp Control Circuit
P1673,cadillac,Engine Hot Lamp Control Circuit
P1673,chevy,Engine Hot Lamp Control Circuit
P1673,gm,Engine Hot Lamp Control Circuit
P1673,gmc,Engine Hot Lamp Control Circuit
P1673,oldsmobile,Engine Hot Lamp Control Circuit
P1673,saturn,Engine Hot Lamp Control Circuit
P1674,buick,Tachometer Control Circuit
P1674,cadillac,Tachometer Control Circuit
P1674,chevy,Tachometer Control Circuit
P1674,gm,Tachometer Control Circuit
P1674,gmc,Tachometer Control Circuit
P1674,oldsmobile,Tachometer Control Circuit
P1674,saturn,Tachometer Control Circuit
P1675,buick,EVAP Vent Solenoid Control Circuit
P1675,cadillac,EVAP Vent Solenoid Control Circuit
P1675,chevy,EVAP Vent Solenoid Control Circuit
P1675,gm,EVAP Vent Solenoid Control Circuit
P1675,gmc,EVAP Vent Solenoid Control Circuit
P1675,oldsmobile,EVAP Vent Solenoid Control Circuit
P1675,saturn,EVAP Vent Solenoid Control Circuit
P1676,acura,Traction Control System FI Data Line No Signal
P1676,buick,Driver 4 Line 6
P1676,cadillac,Driver 4 Line 6
P1676,chevy,Driver 4 Line 6
P1676,gm,Driver 4 Line 6
P1676,gmc,Driver 4 Line 6
P1676,honda,Traction Control System FI Data Line No Signal
P1676,infiniti,Traction Control System FI Data Line No Signal
P1676,oldsmobile,Driver 4 Line 6
P1676,saturn,Driver 4 Line 6
P1676,volkswagen,Drive By Wire MIL Circuit Electrical Malfunction
P1677,acura,Traction Control System FI Data Line Failure
P1677,buick,Driver 4 Line 7
P1677,cadillac,Driver 4 Line 7
P1677,chevy,Driver 4 Line 7
P1677,gm,Driver 4 Line 7
P1677,gmc,Driver 4 Line 7
P1677,honda,Traction Control System FI Data Line Failure
P1677,infiniti,Traction Control System FI Data Line Failure
P1677,oldsmobile,Driver 4 Line 7
P1677,saturn,Driver 4 Line 7
P1677,volkswagen,Drive By Wire MIL Circuit Short To B+
P1678,acura,FPTDR Signal Line Failure
P1678,honda,FPTDR Signal Line Failure
P1678,infiniti,FPTDR Signal Line Failure
P1678,volkswagen,Drive By Wire MIL Circuit Short To Ground
P1679,volkswagen,Drive By Wire MIL Circuit Open Circuit
P1680,,Metering Oil Pump Malfunction
P1680,buick,Driver 5
P1680,cadillac,Driver 5
P1680,chevy,Driver 5
P1680,chrysler,Clutch Released Switch Circuit Open Or Shorted
P1680,dodge,Clutch Released Switch Circuit Open Or Shorted
P1680,gm,Driver 5
P1680,gmc,Driver 5
P1680,jeep,Clutch Released Switch Circuit Open Or Shorted
P1680,mazda,Metering Oil Pump Failure
P1680,oldsmobile,Driver 5
P1680,plymouth,Clutch Released Switch Circuit Open Or Shorted
P1680,pontiac,Clutch Released Switch Circuit Open Or Shorted
P1680,saturn,Driver 5
P1681,,Metering Oil Pump Malfunction
P1681,acura,A/T FI Signal A Low Input
P1681,buick,Driver 5 Line 1
P1681,cadillac,Driver 5 Line 1
P1681,chevy,Driver 5 Line 1
P1681,chrysler,No Instrument Panel Cluster CCD J1850 Messages Received
P1681,dodge,No Instrument Panel Cluster CCD/J1850 Messages Received
P1681,gm,Driver 5 Line 1
P1681,gmc,Driver 5 Line 1
P1681,honda,A/T FI Signal A Low Input
P1681,infiniti,A/T FI Signal A Low Input
P1681,jeep,No Instrument Panel Cluster CCD/J1850 Messages Received
P1681,oldsmobile,Driver 5 Line 1
P1681,plymouth,No Instrument Panel Cluster CCD J1850 Messages Received
P1681,pontiac,No Instrument Panel Cluster CCD J1850 Messages Received
P1681,saturn,Driver 5 Line 1
P1681,volkswagen,Control Module Programming Not Finished
P1682,,P1684
P1682,acura,A/T FI Signal A High Input
P1682,buick,Driver 5 Line 2
P1682,cadillac,Driver 5 Line 2
P1682,chevy,Driver 5 Line 2
P1682,chrysler,Charging System Voltage Too Low
P1682,dodge,Charging System Voltage Too Low
P1682,gm,Driver 5 Line 2
P1682,gmc,Driver 5 Line 2
P1682,honda,A/T FI Signal A High Input
P1682,infiniti,A/T FI Signal A High Input
P1682,jeep,Charging System Voltage Too Low
P1682,mazda,Metering Oil Pump Failure
P1682,oldsmobile,Driver 5 Line 2
P1682,plymouth,Charging System Voltage Too Low
P1682,pontiac,Charging System Voltage Too Low
P1682,saturn,Driver 5 Line 2
P1683,,Metering Oil Pump Temperature Sensor Circuit Malfunction
P1683,buick,Driver 5 Line 3
P1683,cadillac,Driver 5 Line 3
P1683,chevy,Driver 5 Line 3
P1683,chrysler,Speed Control Power Relay Or Speed Control 12 Volt Driver Circuit Open Or Shorted
P1683,dodge,Speed Control Power Relay Or Speed Control 12 Volt Driver Circuit Open Or Shorted
P1683,gm,Driver 5 Line 3
P1683,gmc,Driver 5 Line 3
P1683,jeep,Speed Control Power Relay Or Speed Control 12 Volt Driver Circuit Open Or Shorted
P1683,mazda,Metering Oil Pump Temperature Sensor Circuit
P1683,oldsmobile,Driver 5 Line 3
P1683,plymouth,Speed Control Power Relay Or Speed Control 12 Volt Driver Circuit Open Or Shorted
P1683,pontiac,Speed Control Power Relay Or Speed Control 12 Volt Driver Circuit Open Or Shorted
P1683,saturn,Driver 5 Line 3
P1684,,Metering Oil Pump Position Sensor Circuit Malfunction
P1684,buick,Driver 5 Line 4
P1684,cadillac,Driver 5 Line 4
P1684,chevy,Driver 5 Line 4
P1684,chrysler,Battery Disconnected Within Last 50 Starts
P1684,dodge,Battery Disconnected Within Last 50 Starts
P1684,gm,Driver 5 Line 4
P1684,gmc,Driver 5 Line 4
P1684,jeep,Battery Disconnected Within Last 50 Starts
P1684,mazda,Metering Oil Pump Position Sensor Circuit
P1684,oldsmobile,Driver 5 Line 4
P1684,plymouth,Battery Disconnected Within Last 50 Starts
P1684,pontiac,Battery Disconnected Within Last 50 Starts
P1684,saturn,Driver 5 Line 4
P1684,volkswagen,Control Unit Programming Communication Error
P1685,,Metering Oil Pump Stepping Motor Circuit Malfunction
P1685,buick,Driver 5 Line 5
P1685,cadillac,Driver 5 Line 5
P1685,chevy,Driver 5 Line 5
P1685,chrysler,Skim Invalid Key
P1685,dodge,Skim Invalid Key
P1685,gm,Driver 5 Line 5
P1685,gmc,Driver 5 Line 5
P1685,jeep,Skim Invalid Key
P1685,mazda,Metering Oil Pump Stepping Motor Cont Circuit
P1685,oldsmobile,Driver 5 Line 5
P1685,plymouth,Skim Invalid Key
P1685,pontiac,Skim Invalid Key
P1685,saturn,Driver 5 Line 5
P1686,,Metering Oil Pump Stepping Motor Circuit Malfunction
P1686,acura,A/T FI Signal B Low Input
P1686,buick,Driver 5 Line 6
P1686,cadillac,Driver 5 Line 6
P1686,chevy,Driver 5 Line 6
P1686,chrysler,No SKIM Bus Message Received
P1686,dodge,No SKIM Bus Message Received
P1686,gm,Driver 5 Line 6
P1686,gmc,Driver 5 Line 6
P1686,honda,A/T FI Signal B Low Input
P1686,infiniti,A/T FI Signal B Low Input
P1686,jeep,No SKIM Bus Message Received
P1686,mazda,Metering Oil Pump Stepping Motor Cont Circuit
P1686,oldsmobile,Driver 5 Line 6
P1686,plymouth,No SKIM Bus Message Received
P1686,pontiac,No SKIM Bus Message Received
P1686,saturn,Driver 5 Line 6
P1686,volkswagen,Control Unit Error Programming
P1687,,Metering Oil Pump Stepping Motor Circuit Malfunction
P1687,acura,A/T FI Signal B High Input
P1687,buick,Driver 5 Line 7
P1687,cadillac,Driver 5 Line 7
P1687,chevy,Driver 5 Line 7
P1687,chrysler,No Cluster Bus Message
P1687,dodge,No Cluster Bus Message
P1687,gm,Driver 5 Line 7
P1687,gmc,Driver 5 Line 7
P1687,honda,A/T FI Signal B High Input
P1687,infiniti,A/T FI Signal B High Input
P1687,jeep,No Cluster Bus Message
P1687,mazda,Metering Oil Pump Stepping Motor Cont Circuit
P1687,oldsmobile,Driver 5 Line 7
P1687,plymouth,No Cluster Bus Message
P1687,pontiac,No Cluster Bus Message
P1687,saturn,Driver 5 Line 7
P1688,,Metering Oil Pump Stepping Motor Circuit Malfunction
P1688,chrysler,Internal Fuel Injection Pump Controller Failure
P1688,dodge,Internal Fuel Injection Pump Controller Failure
P1688,jeep,Internal Fuel Injection Pump Controller Failure
P1688,mazda,Metering Oil Pump Stepping Motor Cont Circuit
P1688,plymouth,Internal Fuel Injection Pump Controller Failure
P1688,pontiac,Internal Fuel Injection Pump Controller Failure
P1689,,Oil Pressure Control Solenoid Circuit Malfunction
P1689,buick,Delivered Torque Circuit Fault
P1689,cadillac,Delivered Torque Circuit Fault
P1689,chevy,Delivered Torque Circuit Fault
P1689,chrysler,No Communication Between ECM & Injection Pump Module
P1689,dodge,No Communication Between ECM & Injection Pump Module
P1689,gm,Delivered Torque Circuit Fault
P1689,gmc,Delivered Torque Circuit Fault
P1689,jeep,No Communication Between ECM & Injection Pump Module
P1689,mazda,Oil Pressure Control Solenoid Circuit
P1689,oldsmobile,Delivered Torque Circuit Fault
P1689,plymouth,No Communication Between ECM & Injection Pump Module
P1689,pontiac,No Communication Between ECM & Injection Pump Module
P1689,saturn,Delivered Torque Circuit Fault
P1690,,Wastegate Solenoid Circuit Malfunction
P1690,acura,Traction Control System STB Line Failure
P1690,bmw,Malfunction Indicator Lamp MIL Electrical
P1690,buick,ECM Loop Overrun
P1690,cadillac,ECM Loop Overrun
P1690,chevy,ECM Loop Overrun
P1690,chrysler,Fuel Injection Pump CKP Sensor Does Not Agree With ECM CKP Sensor
P1690,dodge,Fuel Injection Pump CKP Sensor Does Not Agree With ECM CKP Sensor
P1690,gm,ECM Loop Overrun
P1690,gmc,ECM Loop Overrun
P1690,honda,Traction Control System STB Line Failure
P1690,infiniti,Traction Control System STB Line Failure
P1690,jeep,Fuel Injection Pump CKP Sensor Does Not Agree With ECM CKP Sensor
P1690,mazda,Wastegate Solenoid Circuit
P1690,oldsmobile,ECM Loop Overrun
P1690,plymouth,Fuel Injection Pump CKP Sensor Does Not Agree With ECM CKP Sensor
P1690,pontiac,Fuel Injection Pump CKP Sensor Does Not Agree With ECM CKP Sensor
P1690,saturn,ECM Loop Overrun
P1690,volkswagen,MIL Malfunction
P1691,,Turbo Pressure Control Solenoid Circuit Malfunction
P1691,buick,Coolant Gage Circuit Low Voltage
P1691,cadillac,Coolant Gage Circuit Low Voltage
P1691,chevy,Coolant Gage Circuit Low Voltage
P1691,chrysler,Fuel Injection Pump Controller Calibration Failure
P1691,dodge,Fuel Injection Pump Controller Calibration Failure
P1691,gm,Coolant Gage Circuit Low Voltage
P1691,gmc,Coolant Gage Circuit Low Voltage
P1691,jeep,Fuel Injection Pump Controller Calibration Failure
P1691,mazda,Turbo Pressure Control Solenoid Circuit
P1691,oldsmobile,Coolant Gauge Circuit Low Voltage
P1691,plymouth,Fuel Injection Pump Controller Calibration Failure
P1691,pontiac,Fuel Injection Pump Controller Calibration Failure
P1691,saturn,Coolant Gage Circuit Low Voltage
P1691,volkswagen,MIL Open Circuit
P1692,,Turbo Control Solenoid Circuit Malfunction
P1692,buick,Coolant Gage Circuit High Voltage
P1692,cadillac,Coolant Gage Circuit High Voltage
P1692,chevy,Coolant Gage Circuit High Voltage
P1692,gm,Coolant Gage Circuit High Voltage
P1692,gmc,Coolant Gage Circuit High Voltage
P1692,mazda,Turbo Control Solenoid Circuit
P1692,oldsmobile,Coolant Gauge Circuit High Voltage
P1692,saturn,Coolant Gage Circuit High Voltage
P1692,volkswagen,MIL Short To Ground
P1693,,Turbo Charge Control Circuit Malfunction
P1693,buick,Tachometer Circuit Low Voltage
P1693,cadillac,Tachometer Circuit Low Voltage
P1693,chevy,Tachometer Circuit Low Voltage
P1693,chrysler,DTC Detected In ECM Or PCM
P1693,dodge,DTC Detected In ECM Or PCM
P1693,gm,Tachometer Circuit Low Voltage
P1693,gmc,Tachometer Circuit Low Voltage
P1693,jeep,DTC Detected In ECM Or PCM
P1693,kia,MIL Circuit Malfunction
P1693,mazda,Turbo Charge Control Circuit
P1693,oldsmobile,Tachometer Circuit Low Voltage
P1693,plymouth,DTC Detected In ECM Or PCM
P1693,pontiac,DTC Detected In ECM Or PCM
P1693,saturn,Tachometer Circuit Low Voltage
P1693,volkswagen,MIL Short To B+
P1694,,Turbo Charge Relief Circuit Malfunction
P1694,buick,Tachometer Circuit High Voltag
P1694,cadillac,Tachometer Circuit High Voltage
P1694,chevy,Tachometer Circuit High Voltage
P1694,chrysler,No CCD Messages Received From ECM
P1694,dodge,No CCD Messages Received From ECM
P1694,gm,Tachometer Circuit High Voltage
P1694,gmc,Tachometer Circuit High Voltage
P1694,jeep,No CCD Messages Received From ECM
P1694,mazda,Turbo Charge Relief Circuit
P1694,oldsmobile,Tachometer Circuit High Voltage
P1694,plymouth,No CCD Messages Received From ECM
P1694,pontiac,No CCD Messages Received From ECM
P1694,saturn,Tachometer Circuit High Voltag
P1694,volkswagen,MIL Open Short To Ground
P1695,buick,Remote Keyless Entry Circuit Low
P1695,cadillac,Remote Keyless Entry Circuit Low
P1695,chevy,Remote Keyless Entry Circuit Low
P1695,chrysler,No CCD J1850 Message From BCM
P1695,dodge,No CCD/J1850 Message From BCM
P1695,gm,Remote Keyless Entry Circuit Low
P1695,gmc,Remote Keyless Entry Circuit Low
P1695,jeep,No CCD/J1850 Message From BCM
P1695,oldsmobile,TCM To ECM Torque Reduction Circuit
P1695,plymouth,No CCD J1850 Message From BCM
P1695,pontiac,No CCD J1850 Message From BCM
P1695,saturn,Remote Keyless Entry Circuit Low
P1696,acura,Traction Control Fuel Cut Signal Low Input
P1696,buick,Remote Keyless Entry Voltage High
P1696,cadillac,Remote Keyless Entry Voltage High
P1696,chevy,Remote Keyless Entry Voltage High
P1696,chrysler,PCM Failure EEPROM Write Denied
P1696,dodge,PCM Failure EEPROM Write Denied
P1696,gm,Remote Keyless Entry Voltage High
P1696,gmc,Remote Keyless Entry Voltage High
P1696,honda,Traction Control Fuel Cut Signal Low Input
P1696,infiniti,Traction Control Fuel Cut Signal Low Input
P1696,jaguar,CAN Link Engine Control Module Cruise Control Module Circuit Network
P1696,jeep,PCM Failure EEPROM Write Denied
P1696,mitsubishi,PCM Failure EEPROM Write Denied
P1696,plymouth,PCM Failure EEPROM Write Denied
P1696,pontiac,PCM Failure EEPROM Write Denied
P1696,saturn,Remote Keyless Entry Voltage High
P1697,acura,Traction Control Fuel Cut Signal High Input
P1697,chrysler,PCM Failure SRI Mile Not Stored
P1697,dodge,PCM Failure SRI Mile Not Stored
P1697,honda,Traction Control Fuel Cut Signal High Input
P1697,infiniti,Traction Control Fuel Cut Signal High Input
P1697,jaguar,Cruise Control Distance Control Input Circuit
P1697,jeep,PCM Failure SRI Mile Not Stored
P1697,plymouth,PCM Failure SRI Mile Not Stored
P1697,pontiac,PCM Failure SRI Mile Not Stored
P1698,chrysler,No CCD Messages Received From PCM
P1698,dodge,No CCD Messages Received From PCM
P1698,jeep,No CCD Messages Received From PCM
P1698,mitsubishi,No CCD Messages From TCM
P1698,plymouth,No CCD Messages Received From PCM
P1698,pontiac,No CCD Messages Received From PCM
P1698,subaru,Engine Torque Control Cut Signal Circuit Low Input
P1699,chrysler,No CCD J1850 Messages Received From The Climate Control Module (CCM)
P1699,dodge,No CCD/J1850 Messages Received From The Climate Control Module (CCM)
P1699,jeep,No CCD/J1850 Messages Received From The Climate Control Module (CCM)
P1699,plymouth,No CCD J1850 Messages Received From The Climate Control Module CCM
P1699,pontiac,No CCD J1850 Messages Received From The Climate Control Module CCM
P1699,subaru,Engine Torque Control Cut Signal Circuit High Input
P1700,,Transmission Indeterminate Failure (Failed to Neutral)
P1700,buick,Transmission MIL Request
P1700,cadillac,Transmission MIL Request
P1700,chevy,Transmission MIL Request
P1700,ford,Transmission system problems
P1700,gm,Transmission MIL Request
P1700,gmc,Transmission MIL Request
P1700,jaguar,Transmission Indeterminate Failure Failed To Neutral
P1700,lexus,Vehicle Speed Meter Circuit Fault
P1700,lincoln,Transmission System Problems
P1700,mercury,Transmission system problems
P1700,oldsmobile,Transmission MIL Request
P1700,saturn,Transmission MIL Request
P1700,subaru,Throttle Position Sensor Circuit Malfunction AT
P1700,suzuki,TCM Throttle Position Sensor Circuit Fault
P1700,toyota,Vehicle Speed Sensor 2 Circuit Fault
P1701,,Reverse Engagement Error
P1701,buick,Transmission MIL Request Circuit
P1701,cadillac,Transmission MIL Request Circuit
P1701,chevy,Transmission MIL Request Circuit
P1701,gm,Transmission MIL Request Circuit
P1701,gmc,Transmission MIL Request Circuit
P1701,mazda,Transmission Range Sensor Reverse Engagement Error
P1701,nissan,Fuel Trim
P1701,oldsmobile,Transmission MIL Request Circuit
P1701,saturn,Transmission MIL Request Circuit
P1701,subaru,Cruise Control Set Signal Circuit Malfunction AT
P1702,,TRS Circuit Intermittent Malfunction
P1702,ford,Transmission system problems
P1702,lincoln,Transmission System Problems
P1702,mazda,Transmission Range Sensor Circuit Intermittent
P1702,mercury,Transmission system problems
P1702,subaru,Auto Trans Diagnosis Input Signal Circuit
P1703,,Brake Switch Out Of Self Test Range
P1703,ford,Brake On Off Switch Out of Self-Test Range
P1703,lincoln,Brake On Off Switch Out of Self-Test Range
P1703,mazda,Brake On Off Switch Out Of Self Test Range
P1703,mercury,Brake On Off Switch Out of Self-Test Range
P1703,subaru,Low Clutch Timing Control Solenoid Valve Circuit Malfunction
P1704,,Digital TRS Failed to Transition States in KOEO / KOER
P1704,ford,Transmission system problems
P1704,lincoln,Transmission System Problems
P1704,mercury,Transmission system problems
P1704,subaru,2-4 Brake Timing Solenoid Valve Circuit Malfunction
P1704,volkswagen,Kick Down Switch Malfunction
P1705,,Not in P or N During KOEO / KOER
P1705,acura,TCM A/T Gear Position Switch Circuit Shorted
P1705,buick,P/N Signal Output Circuit
P1705,cadillac,P/N Signal Output Circuit
P1705,chevy,P/N Signal Output Circuit
P1705,ford,Manual Lever Position Sensor Out of Self-Test Range
P1705,gm,P/N Signal Output Circuit
P1705,gmc,P/N Signal Output Circuit
P1705,honda,TCM A/T Gear Position Switch Circuit Shorted
P1705,infiniti,TCM A/T Gear Position Switch Circuit Shorted
P1705,lexus,Direct Clutch Speed Circuit Fault
P1705,lincoln,Manual Lever Position Sensor Out of Self-Test Range
P1705,mazda,Transmission Range Sensor Out Of Self Test Range
P1705,mercedes,Starter Lock-Out Backup Lamp Switch S161
P1705,mercury,Manual Lever Position Sensor Out of Self-Test Range
P1705,nissan,Throttle Position Sensor Circuit AT
P1705,oldsmobile,P/N Signal Output Circuit
P1705,saturn,P/N Signal Output Circuit
P1705,subaru,2-4 Brake Pressure Solenoid Valve Solenoid D Circuit
P1705,suzuki,TCM ECT Sensor Circuit Fault
P1705,toyota,Direct Clutch Speed Circuit Fault
P1706,,High Vehicle Speed Observed in Park
P1706,acura,TCM A/T Gear Position Switch Circuit Open
P1706,honda,TCM A/T Gear Position Switch Circuit Open
P1706,infiniti,TCM A/T Gear Position Switch Circuit Open
P1706,nissan,Park Neutral Position PNP Switch
P1707,,Transfer Case Neutral Indicator Hard Fault Present
P1708,,Clutch Switch Circuit Malfunction
P1708,mazda,Clutch Switch Circuit
P1709,,PNP Switch Out Of Self Test Range
P1709,acura,Automatic Transmission System Malfunction
P1709,ford,Park or Neutral Position Switch Out of Self-Test Range
P1709,honda,Automatic Transmission System Malfunction
P1709,infiniti,Automatic Transmission System Malfunction
P1709,lincoln,Park or Neutral Position Switch Out of Self-Test Range
P1709,mazda,Clutch Pedal Position Switch Circuit
P1709,mercury,Park or Neutral Position Switch Out of Self-Test Range
P1710,ford,Transmission system problems
P1710,lincoln,Transmission System Problems
P1710,mazda,Transmission Control Module Solenoid Internal Ground Circuit
P1710,mercury,Transmission system problems
P1710,suzuki,Back-Up Signal For Speed Sensor Circuit Malfunction
P1711,,TFT Sensor Out Of Self Test Range
P1711,ford,Transmission Fluid Temperature Sensor Out of Self-Test Range
P1711,lincoln,Transmission Fluid Temperature Sensor Out of Self-Test Range
P1711,mazda,Transmission Fluid Temperature Sensor Circuit Out Of Self Test Range
P1711,mercury,Transmission Fluid Temperature Sensor Out of Self-Test Range
P1711,subaru,Engine Torque Control Signal 1 Circuit Malfunction
P1711,volkswagen,Wheel Speed Signal 1 Range Performance
P1712,,Trans Torque Reduction Request Signal Malfunction
P1712,subaru,Engine Torque Control Signal 2 Circuit Malfunction
P1713,,TFT Sensor In Range Failure Low Value
P1713,mazda,Transmission Fluid Temperature Sensor Circuit
P1714,,SSA Inductive Signature Malfunction
P1714,mazda,Shift Solenoid 1 Mechanical Fault
P1715,,SSB Inductive Signature Malfunction
P1715,mazda,Shift Solenoid 2 Mechanical Fault
P1715,mitsubishi,Pulse Generator Assembly
P1715,suzuki,PNP Switch Circuit Fault
P1716,,SSC Inductive Signature Malfunction
P1716,mazda,Shift Solenoid 3 Mechanical Fault
P1716,volkswagen,Wheel Speed Signal 2 Range Performance
P1717,,SSD Inductive Signature Malfunction
P1717,mazda,Shift Solenoid 4 Mechanical Fault
P1717,suzuki,AT Drive Range Signal Circuit Fault
P1718,,TFT Sensor In Range Failure High
P1718,mazda,Transmission Fluid Temperature Sensor Circuit
P1719,chrysler,Skip Shift Solenoid Circuit Open Or Shorted
P1719,dodge,Skip Shift Solenoid Circuit Open Or Shorted
P1719,jeep,Skip Shift Solenoid Circuit Open Or Shorted
P1719,mazda,Engine Torque Signal
P1719,plymouth,Skip Shift Solenoid Circuit Open Or Shorted
P1719,pontiac,Skip Shift Solenoid Circuit Open Or Shorted
P1720,,Vehicle Speed (Meter) Circuit Malfunction
P1720,ford,Vehicle Speed Meter Circuit Malfunction
P1720,jaguar,Vehicle Speed Meter Circuit
P1720,lincoln,Vehicle Speed Meter Circuit Malfunction
P1720,mazda,Vehicle Speed Sensor 2 Signal Error
P1720,mercury,Vehicle Speed Meter Circuit Malfunction
P1721,,Gear 1 Incorrect Ratio
P1721,volkswagen,Wheel Speed Signal 3 Range Performance
P1722,,Gear 2 Incorrect Ratio
P1722,jaguar,Stall Speed
P1722,subaru,Auto Trans Diagnosis Input Signal High Input
P1723,,Gear 3 incorrect Ratio
P1723,volkswagen,Starter Interlock Circuit Open
P1724,,Gear 4 Incorrect Ratio
P1724,volkswagen,Starter Interlock Circuit Short To Ground
P1725,,Insufficient Engine Speed Increase During Self Test
P1726,,Insufficient Engine Speed Decrease During Self Test
P1726,jaguar,Engine Overspeed
P1726,volkswagen,Wheel Speed Signal 4 Range Performance
P1727,,Coast Clutch Solenoid Inductive Signature Malfunction
P1728,,Transmission Slip Error
P1728,volkswagen,Different Wheel Speed Signals Range Performance
P1729,,4x4 Low Switch Error
P1729,mazda,Transmission 4x4 Low Switch Error
P1729,volkswagen,Starter Interlock Circuit Short To B+
P1730,,Gear Control Malfunction 2,3,5
P1730,jaguar,Gear Control Malfunction 2 3 5
P1731,,1-2 Shift Malfunction
P1731,jaguar,Inconsistent Gear Ratio
P1732,,2-3 Shift Malfunction
P1733,,3-4 Shift Malfunction
P1733,volkswagen,Tiptronic Switch Down Circuit Short To Ground
P1734,,Gear Control Malfunction
P1734,bmw,Pressure Control Solenoid B Electrical
P1735,,First Gear Switch Circuit Malfunction
P1735,mazda,First Gear Switch Circuit Failure
P1736,,Second Gear Switch Circuit Malfunction
P1736,mazda,Second Gear Switch Circuit Failure
P1737,,Lockup Solenoid System
P1737,mazda,Lockup Solenoid
P1738,,Shift Time Error
P1738,acura,Automatic Transmission System Malfunction
P1738,bmw,Pressure Control Solenoid C Electrical
P1738,honda,Automatic Transmission System Malfunction
P1738,infiniti,Automatic Transmission System Malfunction
P1739,,Slip Solenoid System
P1739,acura,Automatic Transmission System Malfunction
P1739,honda,Automatic Transmission System Malfunction
P1739,infiniti,Automatic Transmission System Malfunction
P1739,mazda,Slip Solenoid
P1739,volkswagen,Tiptronic Switch Up Circuit Short To Ground
P1740,,Torque Converter Clutch Inductive Signature Malfunction
P1740,buick,Transmission Torque Reduction Request Circuit
P1740,cadillac,Transmission Torque Reduction Request Circuit
P1740,chevy,Transmission Torque Reduction Request Circuit
P1740,chrysler,TCC Or OD Solenoid Performance
P1740,dodge,TCC Or OD Solenoid Performance
P1740,ford,Transmission system problems
P1740,gm,Transmission Torque Reduction Request Circuit
P1740,gmc,Transmission Torque Reduction Request Circuit
P1740,jeep,TCC Or OD Solenoid Performance
P1740,lincoln,Transmission System Problems
P1740,mazda,Torque Converter Clutch Solenoid Mechanical Fault
P1740,mercury,Transmission system problems
P1740,oldsmobile,Transmission Torque Reduction Request Circuit
P1740,plymouth,TCC Or OD Solenoid Performance
P1740,pontiac,TCC Or OD Solenoid Performance
P1740,saturn,Transmission Torque Reduction Request Circuit
P1741,,Torque Converter Clutch Control Error
P1741,mazda,Torque Converter Clutch Control Electrical Fault
P1741,volkswagen,Clutch Pressure Adaptation At Limit
P1742,,Torque Converter Clutch Solenoid Failed On
P1742,ford,Torque Converter Clutch Solenoid Faulty
P1742,lincoln,Torque Converter Clutch Solenoid Faulty
P1742,mazda,Torque Converter Clutch Solenoid Shorted
P1742,mercury,Torque Converter Clutch Solenoid Faulty
P1742,subaru,Auto Trans Diagnosis Input Signal Malfunction
P1742,volkswagen,Clutch Torque Adaptation At Limit
P1743,,Torque Converter Clutch Solenoid Failied On
P1743,bmw,Pressure Control Solenoid E Electrical
P1743,buick,TP Signal From ECM
P1743,cadillac,TP Signal From ECM
P1743,chevy,TP Signal From ECM
P1743,ford,Torque Converter Clutch Solenoid Faulty
P1743,gm,TP Signal From ECM
P1743,gmc,TP Signal From ECM
P1743,kia,Torque Converter Clutch Solenoid Valve Open Or Short
P1743,lincoln,Torque Converter Clutch Solenoid Faulty
P1743,mazda,Torque Converter Clutch Failed On TCIL Is On
P1743,mercury,Torque Converter Clutch Solenoid Faulty
P1743,oldsmobile,TP Signal From ECM
P1743,saturn,TP Signal From ECM
P1743,volkswagen,Clutch Slip Control Signal Too High
P1744,,Torque Converter Clutch System Performance
P1744,bmw,Pressure Control Solenoid A Electrical
P1744,ford,Torque Converter Clutch System Stuck in Off Position
P1744,lincoln,Torque Converter Clutch System Stuck in Off Position
P1744,mazda,Torque Converter Clutch Solenoid Mechanical Fault
P1744,mercury,Torque Converter Clutch System Stuck in Off Position
